epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,3.925687074661255,0.31305569410324097,1.9086344242095947,0.8245822191238403
1,1.8610798120498657,0.6781402230262756,1.1185693740844727,0.9175202250480652
2,1.3791613578796387,0.7867739200592041,0.8641704320907593,0.9461994767189026
3,1.161002278327942,0.8367633819580078,0.7311213612556458,0.955795168876648
4,1.0240362882614136,0.8646928071975708,0.6491742730140686,0.9622641801834106
5,0.925239086151123,0.8845766186714172,0.5884295701980591,0.9693800806999207
6,0.8511678576469421,0.8985164761543274,0.5434746146202087,0.973045825958252
7,0.7938855290412903,0.9093599319458008,0.5082889199256897,0.9750943183898926
8,0.745120108127594,0.9165972471237183,0.47927287220954895,0.9772506952285767
9,0.7023733854293823,0.9232873916625977,0.4520573019981384,0.9783288240432739
