epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.6706282496452332,0.9285598993301392,0.4319702088832855,0.9791913628578186
1,0.6415450572967529,0.931817889213562,0.4137592613697052,0.9814555048942566
2,0.616840124130249,0.9358841776847839,0.39763954281806946,0.982749342918396
3,0.590917706489563,0.9394406676292419,0.3815200626850128,0.983504056930542
4,0.5716457366943359,0.9428603649139404,0.3685951828956604,0.9845821857452393
5,0.5539839267730713,0.9449245929718018,0.35631445050239563,0.98576819896698
6,0.5341470241546631,0.9470883011817932,0.3465585708618164,0.9856603741645813
7,0.5196781158447266,0.9482696652412415,0.338162362575531,0.986522912979126
8,0.5027661919593811,0.9516644477844238,0.33086374402046204,0.9867385625839233
9,0.49378085136413574,0.9520996809005737,0.32049229741096497,0.9866307377815247
10,0.4808889627456665,0.9536913633346558,0.310966819524765,0.9878166913986206
11,0.4698767364025116,0.955133855342865,0.3028923571109772,0.9885714054107666
12,0.4582071900367737,0.9567628502845764,0.2970421016216278,0.9892183542251587
13,0.44834601879119873,0.9582924246788025,0.2912765443325043,0.9890027046203613
14,0.43815091252326965,0.959747314453125,0.28551074862480164,0.98954176902771
15,0.43054839968681335,0.9596105217933655,0.2804904580116272,0.98954176902771
16,0.42050036787986755,0.9615877270698547,0.27344000339508057,0.9894339442253113
17,0.4133778512477875,0.9616872072219849,0.26906833052635193,0.9905121326446533
18,0.404643177986145,0.9629680514335632,0.2628888189792633,0.9907277822494507
19,0.40057796239852905,0.9622716307640076,0.2599877715110779,0.9911590218544006
20,0.3916397988796234,0.9643359184265137,0.25574812293052673,0.9912668466567993
21,0.38443323969841003,0.9653182625770569,0.25109294056892395,0.9920215606689453
22,0.37806016206741333,0.9658529758453369,0.24941043555736542,0.9914824962615967
23,0.374290406703949,0.9661763310432434,0.2452463060617447,0.9915903210639954
24,0.366588294506073,0.9668353796005249,0.2403661161661148,0.9920215606689453
25,0.363895446062088,0.9668975472450256,0.23816043138504028,0.99245285987854
26,0.35830995440483093,0.9674695730209351,0.23269052803516388,0.9920215606689453
27,0.35234829783439636,0.9683027267456055,0.23113201558589935,0.9927762746810913
28,0.3475915789604187,0.9691110253334045,0.22896461188793182,0.9922372102737427
29,0.3421243131160736,0.9691483378410339,0.2250959724187851,0.992560625076294
30,0.3384839594364166,0.9693223834037781,0.22184233367443085,0.9929919242858887
31,0.3342800736427307,0.9700560569763184,0.22243955731391907,0.993207573890686
32,0.329804390668869,0.9706280827522278,0.21909502148628235,0.9937466382980347
33,0.3249211609363556,0.9719462394714355,0.21420207619667053,0.993207573890686
34,0.32279953360557556,0.9714115262031555,0.21453812718391418,0.993207573890686
35,0.3155844807624817,0.9724063277244568,0.21066245436668396,0.99288409948349
36,0.31331393122673035,0.9720208644866943,0.20896221697330475,0.9937466382980347
37,0.31277090311050415,0.971796989440918,0.20798510313034058,0.9933153390884399
38,0.30856776237487793,0.9728167057037354,0.20569808781147003,0.9933153390884399
39,0.30571216344833374,0.9727669358253479,0.20376117527484894,0.9940700531005859
40,0.3001417815685272,0.9743959903717041,0.19988106191158295,0.9941778779029846
41,0.2971556782722473,0.9750052690505981,0.19914968311786652,0.9946091771125793
42,0.2936103641986847,0.9748311638832092,0.19565512239933014,0.9937466382980347
43,0.293317586183548,0.9739856123924255,0.19527177512645721,0.9935309886932373
44,0.2900308072566986,0.973848819732666,0.1926489919424057,0.9937466382980347
45,0.28293484449386597,0.9761120080947876,0.19167163968086243,0.9941778779029846
46,0.2850741446018219,0.9751545190811157,0.19233933091163635,0.9941778779029846
47,0.2836184501647949,0.9749679565429688,0.1891699731349945,0.9941778779029846
48,0.27889153361320496,0.9762239456176758,0.18565398454666138,0.9941778779029846
49,0.2761112153530121,0.9758508801460266,0.18568836152553558,0.9938544631004333
50,0.275178462266922,0.9760746955871582,0.18629106879234314,0.994393527507782
51,0.27059873938560486,0.9768705368041992,0.1818031519651413,0.9942857027053833
52,0.25711771845817566,0.9789223670959473,0.17373338341712952,0.994393527507782
53,0.2507443130016327,0.979432225227356,0.16845391690731049,0.994393527507782
54,0.24664661288261414,0.9797182083129883,0.16462716460227966,0.9945013523101807
55,0.24452504515647888,0.9801037311553955,0.1619376540184021,0.994393527507782
56,0.2408129721879959,0.9798052906990051,0.16032707691192627,0.9946091771125793
57,0.23727135360240936,0.9806384444236755,0.1590801477432251,0.9945013523101807
58,0.23614250123500824,0.9803524017333984,0.1580982655286789,0.9940700531005859
59,0.2372368425130844,0.980240523815155,0.15738379955291748,0.994393527507782
60,0.2359151393175125,0.9799420237541199,0.15655557811260223,0.9946091771125793
61,0.23511052131652832,0.9804270267486572,0.15616369247436523,0.9942857027053833
